opportunity_id,lead_id,account_id,sales_rep,stage,created_date,close_date,deal_value,probability,result
33,99,11,Cathy Wang,Closed,2024-06-11,2024-07-21,109967,100,Closed Won
34,106,,David Huang,Closed,2025-08-12,2025-11-11,1199817,0,Closed Lost
35,107,,Cathy Wang,Closed,2025-02-03,2025-02-25,38807,0,Closed Lost
36,120,12,Alex Chen,Closed,2024-06-16,2024-08-30,354620,100,Closed Won
37,122,13,David Huang,Closed,2024-03-18,2024-04-09,117311,100,Closed Won
38,123,14,David Huang,Closed,2025-12-01,2026-02-14,175242,100,Closed Won
39,124,15,David Huang,Closed,2024-12-21,2025-01-19,46515,100,Closed Won
40,127,,Alex Chen,Closed,2024-06-29,2024-08-05,111717,0,Closed Lost
41,134,16,Alex Chen,Closed,2025-05-15,2025-08-13,214865,100,Closed Won
42,142,,Emily Tsai,Closed,2024-11-05,2024-12-01,69230,0,Closed Lost
43,147,17,David Huang,Closed,2024-06-04,2024-11-08,1834853,100,Closed Won
44,150,,Brian Lin,Closed,2024-11-08,2025-01-22,251738,0,Closed Lost
45,152,18,Alex Chen,Closed,2024-09-02,2024-09-21,88046,100,Closed Won
46,158,,David Huang,Closed,2025-03-25,2025-04-11,114676,0,Closed Lost
47,159,,Emily Tsai,Closed,2024-10-05,2024-11-01,38739,0,Closed Lost
48,162,,Alex Chen,Closed,2025-11-19,2025-12-27,89623,0,Closed Lost
49,163,,Brian Lin,Closed,2025-04-26,2025-09-05,1626924,0,Closed Lost
50,166,,Cathy Wang,Closed,2024-12-03,2025-01-08,32620,0,Closed Lost
51,173,,Alex Chen,Closed,2025-12-27,2026-01-28,77398,0,Closed Lost
52,180,,Brian Lin,Closed,2024-06-01,2024-06-21,59143,0,Closed Lost
53,181,,Alex Chen,Closed,2025-04-11,2025-07-25,1113006,0,Closed Lost
54,185,19,Alex Chen,Closed,2024-04-12,2024-05-27,55308,100,Closed Won
55,198,,Alex Chen,Closed,2024-10-21,2024-11-19,76907,0,Closed Lost
56,200,20,Alex Chen,Closed,2024-11-05,2025-05-03,1217270,100,Closed Won
57,205,21,David Huang,Closed,2024-08-12,2024-09-23,83971,100,Closed Won
58,206,,David Huang,Closed,2025-10-05,2025-11-11,460663,0,Closed Lost
59,207,,Cathy Wang,Closed,2025-03-27,2025-06-09,188102,0,Closed Lost
60,209,,Alex Chen,Closed,2025-07-06,2025-08-01,83613,0,Closed Lost
61,210,22,Cathy Wang,Closed,2024-06-17,2024-09-09,684863,100,Closed Won
62,217,,Cathy Wang,Closed,2025-10-25,2026-04-18,990531,0,Closed Lost
63,218,,Alex Chen,Closed,2025-10-26,2025-11-09,91409,0,Closed Lost
64,220,,Cathy Wang,Closed,2025-02-01,2025-07-15,1424094,0,Closed Lost
65,231,,Cathy Wang,Closed,2024-06-27,2024-08-02,117351,0,Closed Lost
66,232,23,Brian Lin,Closed,2024-08-31,2024-10-05,100214,100,Closed Won
67,235,24,David Huang,Closed,2025-04-07,2025-04-29,51183,100,Closed Won
68,238,25,Alex Chen,Closed,2024-03-16,2024-05-09,479623,100,Closed Won
69,240,,David Huang,Closed,2025-01-25,2025-02-11,85516,0,Closed Lost
70,244,26,Emily Tsai,Closed,2025-11-12,2025-12-20,296028,100,Closed Won
71,245,27,Cathy Wang,Closed,2024-03-09,2024-04-04,67188,100,Closed Won
72,246,,Emily Tsai,Closed,2025-01-16,2025-02-21,46111,0,Closed Lost
73,247,,Cathy Wang,Closed,2025-11-17,2026-01-20,1350570,0,Closed Lost
74,250,,Alex Chen,Closed,2024-04-20,2024-05-13,38564,0,Closed Lost
75,254,28,David Huang,Closed,2024-01-07,2024-03-31,411857,100,Closed Won
76,258,29,David Huang,Closed,2024-02-23,2024-03-21,66265,100,Closed Won
77,260,,Emily Tsai,Closed,2025-02-28,2025-03-20,32541,0,Closed Lost
78,261,,Cathy Wang,Closed,2024-04-23,2024-06-08,207597,0,Closed Lost
79,268,,David Huang,Closed,2025-12-27,2026-01-27,54287,0,Closed Lost
80,270,30,Cathy Wang,Closed,2024-03-31,2024-04-29,74251,100,Closed Won
81,272,,Emily Tsai,Closed,2024-12-07,2025-01-19,46456,0,Closed Lost
82,279,,Emily Tsai,Closed,2025-06-03,2025-07-13,98183,0,Closed Lost
83,282,,Brian Lin,Closed,2025-04-05,2025-06-27,461152,0,Closed Lost
84,284,,Brian Lin,Closed,2024-04-15,2024-07-05,838302,0,Closed Lost
85,285,31,Brian Lin,Closed,2025-05-31,2025-07-05,33442,100,Closed Won
86,286,32,David Huang,Closed,2025-03-25,2025-05-06,88450,100,Closed Won
87,290,33,Cathy Wang,Closed,2024-12-07,2024-12-21,55226,100,Closed Won
88,300,34,David Huang,Closed,2025-03-24,2025-05-24,178030,100,Closed Won
89,305,,David Huang,Closed,2024-07-23,2025-01-12,519938,0,Closed Lost
90,311,35,Brian Lin,Closed,2025-01-30,2025-03-16,73904,100,Closed Won
91,313,,Brian Lin,Closed,2024-05-20,2024-08-08,163257,0,Closed Lost
92,315,,Alex Chen,Closed,2024-01-20,2024-02-05,34397,0,Closed Lost
93,318,36,Cathy Wang,Closed,2025-05-26,2025-08-04,198802,100,Closed Won
94,320,37,Emily Tsai,Closed,2025-08-07,2025-09-14,144764,100,Closed Won
95,322,38,Cathy Wang,Closed,2025-02-03,2025-04-04,455853,100,Closed Won
96,324,,Alex Chen,Closed,2024-09-03,2024-10-10,57550,0,Closed Lost
97,327,39,David Huang,Closed,2024-05-18,2024-06-04,46419,100,Closed Won
98,340,40,David Huang,Closed,2024-02-01,2024-03-17,404708,100,Closed Won
99,341,41,Brian Lin,Closed,2024-02-05,2024-04-01,416660,100,Closed Won
100,344,,Emily Tsai,Closed,2025-08-10,2025-09-19,74410,0,Closed Lost
101,345,,Emily Tsai,Closed,2024-09-12,2024-12-09,279486,0,Closed Lost
102,346,,Cathy Wang,Closed,2025-06-14,2025-07-28,101041,0,Closed Lost
103,357,42,Brian Lin,Closed,2024-05-11,2024-08-03,483739,100,Closed Won
104,366,,Cathy Wang,Closed,2025-05-24,2025-06-26,68503,0,Closed Lost
105,372,43,David Huang,Closed,2024-05-24,2024-08-23,1960162,100,Closed Won
106,375,44,Cathy Wang,Closed,2025-05-25,2025-07-09,95185,100,Closed Won
107,377,,Brian Lin,Closed,2024-02-19,2024-04-26,283375,0,Closed Lost
108,379,,Emily Tsai,Closed,2025-01-09,2025-02-05,41631,0,Closed Lost
109,380,45,David Huang,Closed,2025-08-06,2025-10-08,464636,100,Closed Won
110,383,46,Cathy Wang,Closed,2025-07-25,2025-09-03,82435,100,Closed Won
111,386,,Emily Tsai,Closed,2024-12-01,2024-12-26,97128,0,Closed Lost
112,389,47,Alex Chen,Closed,2025-03-02,2025-05-11,704268,100,Closed Won
113,393,48,Emily Tsai,Closed,2024-07-14,2024-08-21,96931,100,Closed Won
114,399,,Cathy Wang,Closed,2024-08-18,2024-11-06,363470,0,Closed Lost
115,401,,Alex Chen,Closed,2024-10-21,2024-11-20,117407,0,Closed Lost
116,402,,David Huang,Closed,2024-12-19,2025-01-18,34142,0,Closed Lost
117,405,49,David Huang,Closed,2024-05-20,2024-07-12,457116,100,Closed Won
118,411,50,Brian Lin,Closed,2025-10-29,2025-12-23,305265,100,Closed Won
119,414,,Cathy Wang,Closed,2024-02-08,2024-05-07,342335,0,Closed Lost
120,415,,Brian Lin,Closed,2024-10-18,2024-11-02,90034,0,Closed Lost
121,425,51,Brian Lin,Closed,2024-06-12,2024-09-24,712572,100,Closed Won
122,439,,Emily Tsai,Closed,2024-07-03,2024-10-04,1266922,0,Closed Lost
123,445,52,Emily Tsai,Closed,2024-08-23,2024-09-19,58970,100,Closed Won
124,446,,Alex Chen,Closed,2024-04-25,2024-05-29,85306,0,Closed Lost
125,449,53,Brian Lin,Closed,2025-02-15,2025-03-22,99716,100,Closed Won
126,450,,Cathy Wang,Closed,2024-05-23,2024-06-09,107846,0,Closed Lost
127,454,54,Emily Tsai,Closed,2025-10-03,2025-11-17,82574,100,Closed Won
128,456,,Cathy Wang,Closed,2025-02-22,2025-04-04,88650,0,Closed Lost
129,458,55,Emily Tsai,Closed,2025-04-19,2025-05-30,40977,100,Closed Won
130,460,,Brian Lin,Closed,2024-12-04,2025-03-02,407403,0,Closed Lost
131,466,56,David Huang,Closed,2025-02-10,2025-03-15,63848,100,Closed Won
132,467,,Emily Tsai,Closed,2025-01-24,2025-03-10,106022,0,Closed Lost
133,469,,Cathy Wang,Closed,2024-11-23,2024-12-20,96748,0,Closed Lost
134,470,57,Cathy Wang,Closed,2025-07-30,2025-08-23,110626,100,Closed Won
135,472,,Cathy Wang,Closed,2024-06-05,2024-07-03,92054,0,Closed Lost
136,473,58,Brian Lin,Closed,2025-05-26,2025-06-19,110363,100,Closed Won
137,486,,Emily Tsai,Closed,2025-10-31,2025-12-05,162082,0,Closed Lost
138,489,,Cathy Wang,Closed,2025-08-02,2025-11-23,1438857,0,Closed Lost
139,493,,Emily Tsai,Closed,2024-01-17,2024-02-28,98704,0,Closed Lost
140,507,59,David Huang,Closed,2025-01-29,2025-03-12,56136,100,Closed Won
141,510,60,Alex Chen,Closed,2025-05-19,2025-06-06,99716,100,Closed Won
142,514,,Alex Chen,Closed,2024-12-03,2025-01-27,443559,0,Closed Lost
143,517,,David Huang,Closed,2025-08-12,2025-09-04,81627,0,Closed Lost
144,540,,David Huang,Closed,2025-04-05,2025-04-24,96105,0,Closed Lost
145,546,,Cathy Wang,Closed,2025-11-20,2026-04-16,619274,0,Closed Lost
146,547,,David Huang,Closed,2025-11-19,2025-12-17,104906,0,Closed Lost
147,550,61,Cathy Wang,Closed,2025-10-12,2026-01-14,543946,100,Closed Won
148,551,62,Emily Tsai,Closed,2025-07-22,2025-08-09,105715,100,Closed Won
149,552,,Emily Tsai,Closed,2025-04-06,2025-08-18,1127532,0,Closed Lost
150,563,,Alex Chen,Closed,2024-08-02,2024-10-05,451812,0,Closed Lost
151,565,,Cathy Wang,Closed,2025-08-06,2025-10-29,184044,0,Closed Lost
152,566,63,Brian Lin,Closed,2024-11-27,2024-12-21,81180,100,Closed Won
153,572,64,Cathy Wang,Closed,2024-03-18,2024-04-10,88181,100,Closed Won
154,579,,Brian Lin,Closed,2024-01-17,2024-02-22,40731,0,Closed Lost
155,586,,Emily Tsai,Closed,2024-01-10,2024-03-13,476357,0,Closed Lost
156,587,,Emily Tsai,Closed,2025-12-11,2026-01-07,115163,0,Closed Lost
157,590,,Cathy Wang,Closed,2024-03-11,2024-04-17,145928,0,Closed Lost
158,592,65,Alex Chen,Closed,2025-02-25,2025-06-22,1933383,100,Closed Won
159,594,,Alex Chen,Closed,2024-12-25,2025-02-28,417019,0,Closed Lost
160,595,,Emily Tsai,Closed,2024-10-10,2024-11-10,283257,0,Closed Lost
161,600,66,Alex Chen,Closed,2025-01-04,2025-01-29,63451,100,Closed Won
162,602,,Cathy Wang,Closed,2024-01-18,2024-02-10,101050,0,Closed Lost
163,606,,David Huang,Closed,2024-06-08,2024-08-19,463290,0,Closed Lost
164,610,,Brian Lin,Closed,2024-01-13,2024-02-07,82474,0,Closed Lost
165,611,67,Emily Tsai,Closed,2024-12-21,2025-01-10,115503,100,Closed Won
166,619,,David Huang,Closed,2024-07-02,2024-08-05,124131,0,Closed Lost
167,621,68,Brian Lin,Closed,2024-10-04,2024-11-15,36918,100,Closed Won
168,622,,David Huang,Closed,2024-07-02,2024-12-03,1712457,0,Closed Lost
169,624,,Alex Chen,Closed,2024-12-01,2024-12-16,57908,0,Closed Lost
170,628,69,Emily Tsai,Closed,2024-01-25,2024-04-17,323085,100,Closed Won
171,630,,Emily Tsai,Closed,2024-04-16,2024-05-10,59126,0,Closed Lost
172,632,,David Huang,Closed,2025-06-16,2025-07-17,99834,0,Closed Lost
173,635,,Emily Tsai,Closed,2024-08-30,2024-12-18,1806512,0,Closed Lost
174,639,,Emily Tsai,Closed,2024-05-03,2024-06-12,67038,0,Closed Lost
175,644,70,Brian Lin,Closed,2024-02-01,2024-04-15,268089,100,Closed Won
176,646,71,Emily Tsai,Closed,2024-08-15,2024-09-03,49479,100,Closed Won
177,647,72,Brian Lin,Closed,2025-08-19,2025-09-26,34578,100,Closed Won
178,654,,Brian Lin,Closed,2024-10-13,2024-11-27,35550,0,Closed Lost
179,656,73,Brian Lin,Closed,2025-01-02,2025-02-14,48769,100,Closed Won
180,666,,Brian Lin,Closed,2024-01-21,2024-02-29,65437,0,Closed Lost
181,669,74,Emily Tsai,Closed,2024-04-23,2024-08-09,686991,100,Closed Won
182,670,,Cathy Wang,Closed,2025-12-22,2026-03-12,399816,0,Closed Lost
183,673,,David Huang,Closed,2024-08-16,2024-09-29,43452,0,Closed Lost
184,679,,David Huang,Closed,2024-01-12,2024-02-21,445371,0,Closed Lost
185,682,,Alex Chen,Closed,2025-01-22,2025-02-28,69629,0,Closed Lost
186,689,,David Huang,Closed,2024-06-09,2024-06-26,104542,0,Closed Lost
187,690,,Emily Tsai,Closed,2025-02-23,2025-05-09,1059772,0,Closed Lost
188,692,75,Emily Tsai,Closed,2025-08-08,2025-09-08,97431,100,Closed Won
189,694,,Alex Chen,Closed,2024-07-23,2024-08-28,83074,0,Closed Lost
190,703,,Emily Tsai,Closed,2025-05-02,2025-08-25,1386500,0,Closed Lost
191,704,76,David Huang,Closed,2025-05-29,2025-08-25,336876,100,Closed Won
192,708,,Cathy Wang,Closed,2024-11-23,2024-12-28,60253,0,Closed Lost
193,710,,Brian Lin,Closed,2025-12-18,2026-02-25,356201,0,Closed Lost
194,711,77,David Huang,Closed,2025-02-28,2025-05-08,229688,100,Closed Won
195,716,,Brian Lin,Closed,2025-05-01,2025-05-19,110197,0,Closed Lost
196,721,,Brian Lin,Closed,2024-02-27,2024-03-20,79554,0,Closed Lost
197,729,,David Huang,Closed,2024-10-18,2024-11-26,44632,0,Closed Lost
198,730,,Brian Lin,Closed,2024-08-14,2024-09-15,47363,0,Closed Lost
199,733,78,Emily Tsai,Closed,2025-12-30,2026-02-07,100131,100,Closed Won
200,735,79,Alex Chen,Closed,2025-08-21,2025-10-21,1914582,100,Closed Won
201,736,,Cathy Wang,Closed,2025-07-28,2025-09-09,39539,0,Closed Lost
202,737,80,Cathy Wang,Closed,2025-05-08,2025-07-11,405473,100,Closed Won
203,744,,Alex Chen,Closed,2025-06-03,2025-07-28,180946,0,Closed Lost
204,745,,Cathy Wang,Closed,2024-10-27,2024-12-12,336941,0,Closed Lost
205,747,,Brian Lin,Closed,2024-08-16,2024-09-23,71617,0,Closed Lost
206,748,,Emily Tsai,Closed,2025-01-15,2025-02-22,57493,0,Closed Lost
207,749,81,Emily Tsai,Closed,2025-04-26,2025-07-07,179431,100,Closed Won
208,750,,Brian Lin,Closed,2025-04-28,2025-05-21,116464,0,Closed Lost
209,753,,Brian Lin,Closed,2024-05-26,2024-06-22,37617,0,Closed Lost
210,757,82,Emily Tsai,Closed,2024-05-12,2024-06-01,37425,100,Closed Won
211,758,,Emily Tsai,Closed,2025-05-03,2025-05-28,34019,0,Closed Lost
212,759,,Brian Lin,Closed,2024-01-15,2024-02-26,103769,0,Closed Lost
213,768,83,Alex Chen,Closed,2025-01-19,2025-03-21,499080,100,Closed Won
214,770,84,David Huang,Closed,2024-02-19,2024-03-15,60375,100,Closed Won
215,776,,Cathy Wang,Closed,2025-01-01,2025-01-28,94791,0,Closed Lost
216,779,85,Brian Lin,Closed,2024-06-01,2024-06-15,40591,100,Closed Won
217,780,,Emily Tsai,Closed,2024-09-19,2025-02-01,1926285,0,Closed Lost
218,788,86,Brian Lin,Closed,2024-04-25,2024-05-18,33153,100,Closed Won
219,790,,Cathy Wang,Closed,2024-07-04,2024-08-31,127595,0,Closed Lost
220,791,,Alex Chen,Closed,2025-05-09,2025-10-29,1494677,0,Closed Lost
221,792,,David Huang,Closed,2024-02-17,2024-03-22,36469,0,Closed Lost
222,793,,Alex Chen,Closed,2025-11-16,2025-12-18,108895,0,Closed Lost
223,796,87,Brian Lin,Closed,2024-01-12,2024-02-09,109165,100,Closed Won
224,797,,Cathy Wang,Closed,2025-05-22,2025-07-03,335736,0,Closed Lost
225,804,,David Huang,Closed,2025-11-01,2025-11-30,101569,0,Closed Lost
226,811,88,Emily Tsai,Closed,2024-08-08,2024-10-12,237578,100,Closed Won
227,813,89,Brian Lin,Closed,2025-04-06,2025-06-06,1942228,100,Closed Won
228,814,90,Brian Lin,Closed,2025-05-25,2025-06-23,103673,100,Closed Won
229,816,,Brian Lin,Closed,2025-12-09,2026-03-07,347389,0,Closed Lost
230,821,91,Cathy Wang,Closed,2025-12-19,2026-03-19,488567,100,Closed Won
231,830,,David Huang,Closed,2024-07-27,2024-08-13,67205,0,Closed Lost
232,831,92,Cathy Wang,Closed,2024-04-14,2024-05-18,437628,100,Closed Won
233,834,,Cathy Wang,Closed,2025-07-19,2025-08-28,41433,0,Closed Lost
234,835,,Alex Chen,Closed,2024-08-18,2024-10-21,176459,0,Closed Lost
235,840,,Emily Tsai,Closed,2025-12-27,2026-01-10,82165,0,Closed Lost
236,846,,Brian Lin,Closed,2025-09-25,2025-12-02,271234,0,Closed Lost
237,847,,Alex Chen,Closed,2024-04-27,2024-05-22,51513,0,Closed Lost
238,853,,Emily Tsai,Closed,2024-08-03,2025-01-05,1801127,0,Closed Lost
239,854,,Cathy Wang,Closed,2024-04-16,2024-08-28,1993210,0,Closed Lost
240,855,,Emily Tsai,Closed,2025-10-24,2026-01-07,474708,0,Closed Lost
241,856,,Alex Chen,Closed,2024-01-25,2024-02-21,114443,0,Closed Lost
242,859,,Emily Tsai,Closed,2024-11-19,2024-12-07,35081,0,Closed Lost
243,861,,Alex Chen,Closed,2025-12-18,2026-05-03,1586051,0,Closed Lost
244,866,93,Brian Lin,Closed,2024-01-12,2024-02-25,50749,100,Closed Won
245,869,,David Huang,Closed,2024-08-04,2024-12-25,1910746,0,Closed Lost
246,870,,Alex Chen,Closed,2024-06-13,2024-08-01,350588,0,Closed Lost
247,871,,Cathy Wang,Closed,2024-04-27,2024-07-07,1810475,0,Closed Lost
248,873,94,Emily Tsai,Closed,2024-04-10,2024-05-11,46203,100,Closed Won
249,875,,Cathy Wang,Closed,2025-09-26,2025-10-23,70244,0,Closed Lost
250,876,95,David Huang,Closed,2024-12-02,2025-01-17,199414,100,Closed Won
251,877,96,Cathy Wang,Closed,2025-08-02,2025-11-07,790794,100,Closed Won
252,882,,Emily Tsai,Closed,2024-05-23,2024-06-11,95002,0,Closed Lost
253,883,,Alex Chen,Closed,2024-03-18,2024-05-03,369323,0,Closed Lost
254,884,,Emily Tsai,Closed,2025-08-27,2025-10-05,232797,0,Closed Lost
255,892,97,Alex Chen,Closed,2024-02-17,2024-03-14,40694,100,Closed Won
256,896,,Emily Tsai,Closed,2025-05-13,2025-06-19,87563,0,Closed Lost
257,897,98,Brian Lin,Closed,2025-03-26,2025-04-14,31389,100,Closed Won
258,898,,Brian Lin,Closed,2024-08-04,2024-09-15,105773,0,Closed Lost
259,901,,Alex Chen,Closed,2024-01-23,2024-04-21,245742,0,Closed Lost
260,905,,Brian Lin,Closed,2024-03-28,2024-05-30,1904060,0,Closed Lost
261,907,,Cathy Wang,Closed,2025-09-30,2025-11-02,48918,0,Closed Lost
262,908,99,David Huang,Closed,2025-04-09,2025-05-17,56653,100,Closed Won
263,912,100,Emily Tsai,Closed,2025-09-09,2026-02-13,830654,100,Closed Won
264,913,,Emily Tsai,Closed,2025-06-18,2025-08-05,267646,0,Closed Lost
265,914,,Emily Tsai,Closed,2024-08-22,2024-10-20,365378,0,Closed Lost
266,919,,David Huang,Closed,2025-06-16,2025-07-26,41456,0,Closed Lost
267,922,,David Huang,Closed,2025-11-27,2026-01-08,54506,0,Closed Lost
268,923,,Emily Tsai,Closed,2024-07-02,2024-07-24,32600,0,Closed Lost
269,925,,Emily Tsai,Closed,2025-11-06,2025-12-21,78098,0,Closed Lost
270,927,,Cathy Wang,Closed,2024-06-13,2024-07-02,37608,0,Closed Lost
271,930,,Emily Tsai,Closed,2025-02-14,2025-03-04,36156,0,Closed Lost
272,931,,Brian Lin,Closed,2024-06-28,2024-07-21,75100,0,Closed Lost
273,935,,Alex Chen,Closed,2025-11-16,2025-12-13,36204,0,Closed Lost
274,939,101,Brian Lin,Closed,2025-02-20,2025-03-13,92750,100,Closed Won
275,941,,Cathy Wang,Closed,2025-12-11,2026-03-05,290399,0,Closed Lost
276,942,,Emily Tsai,Closed,2024-12-13,2025-03-09,199685,0,Closed Lost
277,943,102,David Huang,Closed,2025-05-08,2025-05-23,35512,100,Closed Won
278,945,,Cathy Wang,Closed,2025-06-12,2025-09-10,132911,0,Closed Lost
279,948,103,Alex Chen,Closed,2024-08-11,2024-09-20,103912,100,Closed Won
280,950,,Emily Tsai,Closed,2024-07-30,2024-09-30,277584,0,Closed Lost
281,956,,David Huang,Closed,2025-07-07,2025-08-11,116268,0,Closed Lost
282,962,104,Alex Chen,Closed,2025-01-08,2025-01-22,63981,100,Closed Won
283,964,105,Alex Chen,Closed,2025-07-22,2025-08-23,92831,100,Closed Won
284,966,,David Huang,Closed,2025-10-07,2025-11-18,103256,0,Closed Lost
285,969,,Brian Lin,Closed,2025-10-06,2025-11-10,46630,0,Closed Lost
286,970,,Cathy Wang,Closed,2025-01-03,2025-01-27,98447,0,Closed Lost
287,972,106,Brian Lin,Closed,2025-08-13,2025-09-03,60530,100,Closed Won
288,978,,Brian Lin,Closed,2024-10-04,2024-11-23,409407,0,Closed Lost
289,986,107,David Huang,Closed,2024-11-29,2025-04-25,654991,100,Closed Won
290,992,108,Brian Lin,Closed,2025-07-01,2025-12-03,1499514,100,Closed Won
291,994,109,Brian Lin,Closed,2024-01-08,2024-02-06,58119,100,Closed Won
292,996,,Alex Chen,Closed,2025-01-22,2025-02-17,73337,0,Closed Lost
293,998,110,Alex Chen,Closed,2024-10-18,2024-12-14,211186,100,Closed Won
294,999,,Emily Tsai,Closed,2024-07-11,2024-08-17,92044,0,Closed Lost
295,1005,,David Huang,Closed,2025-12-14,2026-01-09,51935,0,Closed Lost
296,1006,111,Alex Chen,Closed,2024-02-27,2024-03-14,64585,100,Closed Won
297,1011,,Cathy Wang,Closed,2024-11-26,2024-12-29,59458,0,Closed Lost
298,1013,,Alex Chen,Closed,2025-11-13,2025-12-11,69900,0,Closed Lost
299,1016,,Emily Tsai,Closed,2025-12-05,2026-02-18,459659,0,Closed Lost
300,1022,,Cathy Wang,Closed,2025-07-26,2025-08-18,70290,0,Closed Lost
301,1026,,Cathy Wang,Closed,2024-07-08,2024-11-02,1100523,0,Closed Lost
302,1028,112,Brian Lin,Closed,2024-07-13,2024-09-27,241960,100,Closed Won
303,1029,,Brian Lin,Closed,2025-09-19,2025-10-22,262725,0,Closed Lost
304,1030,,Cathy Wang,Closed,2024-04-08,2024-04-24,117343,0,Closed Lost
305,1032,,Cathy Wang,Closed,2024-04-11,2024-06-15,162640,0,Closed Lost
306,1033,113,David Huang,Closed,2025-06-22,2025-07-28,60959,100,Closed Won
307,1034,114,Emily Tsai,Closed,2024-08-14,2024-09-05,108947,100,Closed Won
308,1035,,Cathy Wang,Closed,2025-11-02,2025-11-18,108189,0,Closed Lost
309,1036,,Cathy Wang,Closed,2025-01-04,2025-03-14,153035,0,Closed Lost
310,1038,,Brian Lin,Closed,2024-03-20,2024-04-18,88094,0,Closed Lost
311,1051,115,Emily Tsai,Closed,2024-04-06,2024-05-03,38809,100,Closed Won
312,1053,,David Huang,Closed,2024-04-04,2024-09-22,929253,0,Closed Lost
313,1067,,Emily Tsai,Closed,2024-03-14,2024-04-19,74074,0,Closed Lost
314,1069,116,Brian Lin,Closed,2024-11-24,2024-12-29,116203,100,Closed Won
315,1077,,Alex Chen,Closed,2025-12-12,2026-01-03,31278,0,Closed Lost
316,1084,,Cathy Wang,Closed,2025-07-28,2025-09-03,54902,0,Closed Lost
317,1089,,Brian Lin,Closed,2025-11-03,2025-12-18,118366,0,Closed Lost
318,1090,,Brian Lin,Closed,2025-03-03,2025-04-14,107863,0,Closed Lost
319,1091,,Alex Chen,Closed,2025-09-11,2025-10-06,66698,0,Closed Lost
320,1097,,Emily Tsai,Closed,2025-02-25,2025-07-04,896091,0,Closed Lost
321,1099,117,Brian Lin,Closed,2025-09-18,2025-10-24,253699,100,Closed Won
322,1104,,Alex Chen,Closed,2024-01-16,2024-02-01,44986,0,Closed Lost
323,1108,,Emily Tsai,Closed,2024-11-16,2025-01-31,357727,0,Closed Lost
324,1121,118,Alex Chen,Closed,2025-01-22,2025-04-21,238393,100,Closed Won
325,1127,,David Huang,Closed,2024-08-31,2024-10-12,88303,0,Closed Lost
326,1130,,Emily Tsai,Closed,2024-02-26,2024-03-14,43106,0,Closed Lost
327,1137,,David Huang,Closed,2024-12-03,2024-12-31,44389,0,Closed Lost
328,1138,119,Emily Tsai,Closed,2025-09-18,2025-12-08,246665,100,Closed Won
329,1140,120,Cathy Wang,Closed,2025-03-13,2025-04-23,56596,100,Closed Won
